x,y,radius_px,sigma,score
84,184,3.26,2.30,0.068745
226,312,3.26,2.30,0.068718
205,191,3.91,2.76,0.068683
247,231,5.63,3.98,0.068680
153,263,2.72,1.92,0.068588
274,64,11.68,8.26,0.068431
34,252,3.91,2.76,0.068106
72,324,9.73,6.88,0.067825
82,340,2.72,1.92,0.067757
217,305,2.72,1.92,0.067480
140,301,2.72,1.92,0.067428
235,227,6.76,4.78,0.067124
65,48,20.17,14.27,0.067099
116,285,2.72,1.92,0.067059
244,319,9.73,6.88,0.067055
213,199,5.63,3.98,0.067011
307,269,4.69,3.32,0.066997
67,340,3.26,2.30,0.066852
225,80,29.05,20.54,0.066782
130,186,5.63,3.98,0.066744
34,359,3.26,2.30,0.066648
253,238,16.81,11.89,0.066641
225,268,6.76,4.78,0.066637
244,44,11.68,8.26,0.066506
231,322,3.26,2.30,0.066456
71,344,8.11,5.73,0.066430
56,320,2.72,1.92,0.066405
312,51,29.05,20.54,0.066405
46,49,4.69,3.32,0.066258
359,196,6.76,4.78,0.066192
121,76,3.91,2.76,0.066170
99,336,3.91,2.76,0.065917
78,122,3.91,2.76,0.065867
239,133,11.68,8.26,0.065726
258,198,6.76,4.78,0.065669
329,258,4.69,3.32,0.065378
175,304,3.26,2.30,0.065357
129,67,9.73,6.88,0.065340
302,303,3.91,2.76,0.065301
230,325,5.63,3.98,0.065185
40,239,9.73,6.88,0.065131
104,356,2.72,1.92,0.064828
121,202,4.69,3.32,0.064809
308,266,5.63,3.98,0.064792
273,228,2.72,1.92,0.064724
7,263,2.72,1.92,0.064721
241,328,3.26,2.30,0.064670
64,209,3.26,2.30,0.064663
179,189,4.69,3.32,0.064630
40,226,11.68,8.26,0.064562
187,287,3.91,2.76,0.064543
28,137,3.91,2.76,0.064466
280,282,2.72,1.92,0.064410
84,322,3.91,2.76,0.064369
116,156,2.72,1.92,0.064363
103,352,5.63,3.98,0.064267
70,333,4.69,3.32,0.064263
23,321,8.11,5.73,0.064177
359,275,6.76,4.78,0.064151
329,196,2.72,1.92,0.064074
132,53,2.72,1.92,0.064004
315,344,2.72,1.92,0.064003
88,121,2.72,1.92,0.064001
50,334,5.63,3.98,0.063844
101,51,9.73,6.88,0.063639
169,192,29.05,20.54,0.063600
32,112,3.26,2.30,0.063595
47,359,14.01,9.91,0.063544
281,281,3.26,2.30,0.063113
19,46,4.69,3.32,0.062973
35,264,16.81,11.89,0.062959
195,217,2.72,1.92,0.062947
35,319,5.63,3.98,0.062869
220,298,3.91,2.76,0.062755
63,194,3.91,2.76,0.062752
47,338,8.11,5.73,0.062714
136,271,3.26,2.30,0.062695
287,19,14.01,9.91,0.062564
193,34,2.72,1.92,0.062136
0,248,24.21,17.12,0.062097
89,120,3.91,2.76,0.062055
105,334,3.91,2.76,0.062048
179,136,2.72,1.92,0.062042
315,187,2.72,1.92,0.061976
300,18,4.69,3.32,0.061914
103,335,4.69,3.32,0.061887
322,256,2.72,1.92,0.061871
211,262,14.01,9.91,0.061818
342,203,2.72,1.92,0.061705
57,313,5.63,3.98,0.061317
318,350,3.91,2.76,0.061211
105,312,3.26,2.30,0.061107
252,312,2.72,1.92,0.060968
168,220,2.72,1.92,0.060884
298,261,3.91,2.76,0.060785
318,277,29.05,20.54,0.060758
15,127,3.26,2.30,0.060563
124,287,29.05,20.54,0.060531
8,325,3.91,2.76,0.060395
208,7,9.73,6.88,0.060290
107,333,3.26,2.30,0.060289
227,319,2.72,1.92,0.060231
359,359,16.81,11.89,0.060194
225,136,3.26,2.30,0.060170
111,189,24.21,17.12,0.060141
31,315,2.72,1.92,0.060134
21,327,11.68,8.26,0.059896
69,335,2.72,1.92,0.059869
107,73,14.01,9.91,0.059791
252,315,3.91,2.76,0.059750
52,127,2.72,1.92,0.059727
285,286,3.26,2.30,0.059491
316,189,2.72,1.92,0.059332
357,297,2.72,1.92,0.059322
105,251,24.21,17.12,0.059250
73,333,3.26,2.30,0.059137
233,254,4.69,3.32,0.059057
209,303,2.72,1.92,0.058997
225,196,3.91,2.76,0.058887
359,327,11.68,8.26,0.058661
249,134,2.72,1.92,0.058636
107,350,3.91,2.76,0.058623
128,321,4.69,3.32,0.058546
236,263,4.69,3.32,0.058521
182,37,11.68,8.26,0.058450
254,354,2.72,1.92,0.058436
331,253,16.81,11.89,0.058360
289,72,29.05,20.54,0.058230
62,63,8.11,5.73,0.058097
196,182,3.91,2.76,0.058087
22,339,5.63,3.98,0.057846
118,155,4.69,3.32,0.057741
195,34,3.91,2.76,0.057719
14,33,2.72,1.92,0.057361
225,319,3.91,2.76,0.057314
32,316,3.26,2.30,0.057303
148,247,5.63,3.98,0.057256
220,309,2.72,1.92,0.057233
224,214,2.72,1.92,0.057222
29,326,3.26,2.30,0.057197
253,193,5.63,3.98,0.057070
285,210,3.91,2.76,0.057035
95,67,4.69,3.32,0.057014
91,297,3.26,2.30,0.056875
257,18,5.63,3.98,0.056847
103,114,3.91,2.76,0.056816
101,316,2.72,1.92,0.056692
91,117,6.76,4.78,0.056488
159,132,3.26,2.30,0.056461
298,308,3.91,2.76,0.056394
61,67,5.63,3.98,0.056318
254,296,3.26,2.30,0.056041
0,44,4.69,3.32,0.055852
123,306,29.05,20.54,0.055803
169,136,4.69,3.32,0.055793
0,315,14.01,9.91,0.055743
20,44,2.72,1.92,0.055692
168,73,29.05,20.54,0.055614
251,296,2.72,1.92,0.055596
101,330,2.72,1.92,0.055295
72,69,2.72,1.92,0.055254
191,204,6.76,4.78,0.055023
19,338,9.73,6.88,0.054962
109,100,14.01,9.91,0.054854
17,348,3.26,2.30,0.054809
208,248,3.26,2.30,0.054537
25,316,3.26,2.30,0.054330
84,66,2.72,1.92,0.054298
46,261,2.72,1.92,0.054278
324,244,9.73,6.88,0.054129
50,199,11.68,8.26,0.054022
28,253,3.26,2.30,0.054013
312,326,3.91,2.76,0.053943
237,158,3.26,2.30,0.053909
14,17,2.72,1.92,0.053827
30,257,2.72,1.92,0.053767
204,343,3.26,2.30,0.053717
100,101,16.81,11.89,0.053702
204,266,4.69,3.32,0.053353
239,333,2.72,1.92,0.053328
148,317,3.26,2.30,0.053287
151,202,3.91,2.76,0.053271
110,112,3.26,2.30,0.053222
134,250,4.69,3.32,0.052958
231,308,2.72,1.92,0.052819
221,343,3.91,2.76,0.052613
175,29,3.91,2.76,0.052596
295,47,9.73,6.88,0.052560
147,312,2.72,1.92,0.052554
359,20,4.69,3.32,0.052360
27,325,5.63,3.98,0.052179
238,332,3.26,2.30,0.052151
139,184,3.26,2.30,0.052069
245,124,3.26,2.30,0.052061
185,80,29.05,20.54,0.051740
233,308,4.69,3.32,0.051695
276,85,29.05,20.54,0.051690
37,124,5.63,3.98,0.051459
20,19,3.26,2.30,0.051410
27,336,3.26,2.30,0.051281
86,102,20.17,14.27,0.051275
189,42,5.63,3.98,0.051238
219,215,3.26,2.30,0.051216
318,12,8.11,5.73,0.051152
295,271,2.72,1.92,0.051089
203,273,2.72,1.92,0.051066
119,112,2.72,1.92,0.050972
273,304,3.26,2.30,0.050790
115,325,3.91,2.76,0.050651
340,134,2.72,1.92,0.050644
251,86,29.05,20.54,0.050533
106,66,8.11,5.73,0.050474
259,246,3.91,2.76,0.050463
347,268,2.72,1.92,0.050348
11,117,3.26,2.30,0.050305
94,119,2.72,1.92,0.050271
0,79,3.26,2.30,0.050236
7,218,3.26,2.30,0.050159
217,137,2.72,1.92,0.050158
105,292,3.26,2.30,0.050094
78,323,2.72,1.92,0.050057
251,323,2.72,1.92,0.049891
105,329,2.72,1.92,0.049872
110,132,2.72,1.92,0.049851
299,283,2.72,1.92,0.049696
275,136,2.72,1.92,0.049665
174,27,5.63,3.98,0.049606
233,148,3.26,2.30,0.049598
16,22,2.72,1.92,0.049342
222,321,2.72,1.92,0.049332
352,121,4.69,3.32,0.049220
182,300,2.72,1.92,0.049141
128,246,2.72,1.92,0.049032
242,156,4.69,3.32,0.048960
92,111,11.68,8.26,0.048895
51,44,2.72,1.92,0.048865
0,269,29.05,20.54,0.048785
216,136,3.91,2.76,0.048732
39,219,2.72,1.92,0.048675
239,144,3.26,2.30,0.048652
93,125,3.26,2.30,0.048583
15,359,2.72,1.92,0.048518
218,323,2.72,1.92,0.048377
339,312,2.72,1.92,0.048353
250,329,2.72,1.92,0.048310
302,273,3.26,2.30,0.048068
22,22,3.26,2.30,0.047927
107,38,2.72,1.92,0.047909
213,191,3.91,2.76,0.047883
354,122,3.26,2.30,0.047807
98,75,4.69,3.32,0.047756
145,126,2.72,1.92,0.047723
153,271,2.72,1.92,0.047720
146,318,4.69,3.32,0.047554
20,105,2.72,1.92,0.047544
101,111,8.11,5.73,0.047373
24,302,2.72,1.92,0.047367
215,272,5.63,3.98,0.047288
242,72,2.72,1.92,0.047250
71,130,2.72,1.92,0.047221
242,123,4.69,3.32,0.047067
123,73,6.76,4.78,0.047027
8,158,4.69,3.32,0.047018
240,124,3.91,2.76,0.046994
0,301,5.63,3.98,0.046939
102,59,2.72,1.92,0.046894
50,226,2.72,1.92,0.046762
21,344,2.72,1.92,0.046689
219,322,3.26,2.30,0.046551
49,39,2.72,1.92,0.046492
152,267,4.69,3.32,0.046465
342,254,6.76,4.78,0.046448
74,121,6.76,4.78,0.046315
359,271,29.05,20.54,0.046156
119,110,4.69,3.32,0.046130
124,127,4.69,3.32,0.046130
247,259,2.72,1.92,0.046024
144,125,3.91,2.76,0.045918
126,30,9.73,6.88,0.045664
109,328,2.72,1.92,0.045647
29,296,3.26,2.30,0.045560
298,282,3.91,2.76,0.045510
272,131,3.26,2.30,0.045499
147,275,3.26,2.30,0.045490
2,30,29.05,20.54,0.045477
25,206,5.63,3.98,0.045441
294,279,5.63,3.98,0.045427
38,350,3.26,2.30,0.045196
137,250,3.26,2.30,0.045195
331,0,2.72,1.92,0.045147
315,258,2.72,1.92,0.044963
212,68,8.11,5.73,0.044785
17,155,2.72,1.92,0.044671
359,33,29.05,20.54,0.044647
325,359,3.26,2.30,0.044492
139,76,2.72,1.92,0.044385
315,337,3.91,2.76,0.044325
231,146,5.63,3.98,0.044236
217,278,2.72,1.92,0.044212
96,342,2.72,1.92,0.044204
38,220,3.26,2.30,0.044164
62,155,2.72,1.92,0.044140
187,54,2.72,1.92,0.044096
1,324,2.72,1.92,0.043997
106,328,3.91,2.76,0.043956
109,0,29.05,20.54,0.043943
173,23,9.73,6.88,0.043937
345,258,3.91,2.76,0.043882
47,28,2.72,1.92,0.043688
234,312,6.76,4.78,0.043581
127,44,3.91,2.76,0.043559
26,0,4.69,3.32,0.043520
178,26,2.72,1.92,0.043499
118,31,6.76,4.78,0.043480
23,157,3.26,2.30,0.043403
113,337,2.72,1.92,0.043199
35,237,6.76,4.78,0.043159
142,316,3.91,2.76,0.043124
94,1,29.05,20.54,0.042987
141,124,5.63,3.98,0.042777
139,273,6.76,4.78,0.042759
136,120,9.73,6.88,0.042661
94,58,5.63,3.98,0.042628
152,270,3.91,2.76,0.042300
313,336,3.26,2.30,0.042278
114,90,6.76,4.78,0.042080
209,65,4.69,3.32,0.042042
257,72,5.63,3.98,0.041989
326,356,3.26,2.30,0.041920
228,292,2.72,1.92,0.041890
227,293,3.26,2.30,0.041811
71,128,3.91,2.76,0.041760
46,125,2.72,1.92,0.041678
285,204,24.21,17.12,0.041555
232,316,3.91,2.76,0.041506
280,303,4.69,3.32,0.041468
42,64,2.72,1.92,0.041258
39,158,4.69,3.32,0.041211
223,289,3.91,2.76,0.041153
7,322,6.76,4.78,0.041092
153,145,8.11,5.73,0.041033
236,145,3.91,2.76,0.040953
151,96,29.05,20.54,0.040799
214,276,3.91,2.76,0.040796
218,311,4.69,3.32,0.040778
115,93,9.73,6.88,0.040776
180,60,14.01,9.91,0.040709
336,23,11.68,8.26,0.040594
143,46,4.69,3.32,0.040551
101,134,3.26,2.30,0.040250
87,62,2.72,1.92,0.040177
140,44,2.72,1.92,0.039978
359,117,5.63,3.98,0.039543
35,131,3.26,2.30,0.039464
138,266,2.72,1.92,0.039234
177,53,8.11,5.73,0.039155
338,0,11.68,8.26,0.039141
70,120,9.73,6.88,0.039106
193,53,3.91,2.76,0.039095
288,220,6.76,4.78,0.039070
278,302,3.26,2.30,0.038956
19,152,4.69,3.32,0.038909
17,321,3.91,2.76,0.038817
200,311,2.72,1.92,0.038769
227,205,11.68,8.26,0.038761
141,45,3.26,2.30,0.038605
0,15,3.26,2.30,0.038287
257,0,8.11,5.73,0.038218
51,38,5.63,3.98,0.038177
236,306,2.72,1.92,0.038168
81,60,2.72,1.92,0.037946
9,113,2.72,1.92,0.037893
267,232,2.72,1.92,0.037821
277,34,5.63,3.98,0.037720
343,117,3.26,2.30,0.037506
136,113,14.01,9.91,0.037375
141,55,2.72,1.92,0.037369
338,17,6.76,4.78,0.037363
142,267,2.72,1.92,0.037348
133,24,16.81,11.89,0.037309
59,128,2.72,1.92,0.037075
323,24,6.76,4.78,0.037071
98,133,3.91,2.76,0.036789
228,341,2.72,1.92,0.036787
72,74,29.05,20.54,0.036497
15,108,2.72,1.92,0.036465
21,150,3.91,2.76,0.036248
135,265,3.26,2.30,0.036107
125,129,2.72,1.92,0.036026
39,292,2.72,1.92,0.035961
214,133,6.76,4.78,0.035920
359,204,2.72,1.92,0.035842
23,5,2.72,1.92,0.035779
52,325,3.26,2.30,0.035762
118,162,2.72,1.92,0.035661
327,4,2.72,1.92,0.035659
21,103,4.69,3.32,0.035487
36,293,2.72,1.92,0.035336
242,119,8.11,5.73,0.035260
34,294,2.72,1.92,0.035173
322,5,3.26,2.30,0.035065
47,318,5.63,3.98,0.035027
197,47,3.91,2.76,0.034935
218,260,3.26,2.30,0.034824
185,15,3.26,2.30,0.034818
122,34,2.72,1.92,0.034796
281,145,3.26,2.30,0.034708
146,45,8.11,5.73,0.034476
359,11,6.76,4.78,0.034362
130,91,5.63,3.98,0.034354
8,154,9.73,6.88,0.033879
237,59,3.91,2.76,0.033815
201,352,2.72,1.92,0.033463
345,246,2.72,1.92,0.033396
58,126,3.91,2.76,0.033300
206,326,2.72,1.92,0.033251
324,35,4.69,3.32,0.033246
149,42,11.68,8.26,0.033232
253,36,29.05,20.54,0.033202
306,16,2.72,1.92,0.033165
54,326,2.72,1.92,0.032948
40,65,3.91,2.76,0.032795
359,246,3.91,2.76,0.032666
209,131,9.73,6.88,0.032652
50,28,5.63,3.98,0.032508
3,85,2.72,1.92,0.032379
214,46,5.63,3.98,0.032364
11,318,3.26,2.30,0.032272
0,71,2.72,1.92,0.032107
131,49,2.72,1.92,0.031994
155,127,3.91,2.76,0.031967
199,7,3.91,2.76,0.031665
249,137,5.63,3.98,0.031421
354,13,4.69,3.32,0.031417
253,124,3.91,2.76,0.031391
330,243,3.26,2.30,0.031350
175,125,3.91,2.76,0.031319
210,159,2.72,1.92,0.031012
182,52,3.91,2.76,0.030992
12,359,8.11,5.73,0.030924
261,127,3.26,2.30,0.030792
166,35,3.26,2.30,0.030678
131,259,2.72,1.92,0.030666
156,124,5.63,3.98,0.030402
97,57,3.26,2.30,0.030345
289,278,2.72,1.92,0.030192
203,31,3.26,2.30,0.030023
115,71,2.72,1.92,0.029963
167,33,3.91,2.76,0.029936
359,350,3.91,2.76,0.029807
290,277,3.26,2.30,0.029494
332,117,2.72,1.92,0.029345
288,280,2.72,1.92,0.029290
297,25,3.26,2.30,0.029287
260,122,8.11,5.73,0.028875
349,7,2.72,1.92,0.028744
135,353,2.72,1.92,0.028654
119,322,2.72,1.92,0.028640
322,309,2.72,1.92,0.028615
328,168,2.72,1.92,0.028595
260,14,29.05,20.54,0.028574
109,319,3.26,2.30,0.028481
350,6,3.26,2.30,0.028418
53,352,2.72,1.92,0.028379
17,8,3.26,2.30,0.028250
31,47,2.72,1.92,0.028066
227,124,5.63,3.98,0.028005
70,161,2.72,1.92,0.027848
190,59,3.26,2.30,0.027815
114,126,3.26,2.30,0.027785
209,125,14.01,9.91,0.027676
340,8,2.72,1.92,0.027615
12,55,4.69,3.32,0.027562
345,110,2.72,1.92,0.027544
259,118,11.68,8.26,0.027401
88,73,3.91,2.76,0.027281
148,359,29.05,20.54,0.027241
269,123,2.72,1.92,0.027142
345,250,3.91,2.76,0.027085
357,349,2.72,1.92,0.027076
115,128,4.69,3.32,0.027027
33,290,2.72,1.92,0.026966
324,174,2.72,1.92,0.026782
1,343,20.17,14.27,0.026729
266,0,29.05,20.54,0.026662
102,40,3.26,2.30,0.026390
318,0,2.72,1.92,0.026300
327,169,3.91,2.76,0.026114
120,321,3.91,2.76,0.025991
343,128,3.91,2.76,0.025938
229,121,8.11,5.73,0.025874
58,122,6.76,4.78,0.025859
15,64,3.91,2.76,0.025758
32,48,3.91,2.76,0.025745
207,21,4.69,3.32,0.025615
205,0,3.91,2.76,0.025525
332,172,2.72,1.92,0.025437
94,84,4.69,3.32,0.025197
231,54,3.91,2.76,0.025042
141,61,2.72,1.92,0.025038
192,126,14.01,9.91,0.024996
190,56,8.11,5.73,0.024910
359,0,4.69,3.32,0.024866
155,121,8.11,5.73,0.024806
212,317,2.72,1.92,0.024504
84,52,2.72,1.92,0.024431
239,63,2.72,1.92,0.024417
276,53,2.72,1.92,0.024391
249,53,2.72,1.92,0.024239
69,137,2.72,1.92,0.023855
10,54,2.72,1.92,0.023842
159,126,3.26,2.30,0.023642
14,12,2.72,1.92,0.023491
343,110,3.91,2.76,0.023473
316,173,2.72,1.92,0.023463
22,10,2.72,1.92,0.023459
268,122,3.91,2.76,0.023233
4,163,2.72,1.92,0.022995
220,271,2.72,1.92,0.022847
301,38,3.26,2.30,0.022837
325,173,3.26,2.30,0.022505
213,318,3.26,2.30,0.022462
117,56,2.72,1.92,0.022318
290,38,3.26,2.30,0.022285
105,34,2.72,1.92,0.022214
36,52,3.26,2.30,0.022189
206,117,20.17,14.27,0.022016
175,160,3.91,2.76,0.021228
205,23,2.72,1.92,0.021220
355,252,4.69,3.32,0.021106
127,123,2.72,1.92,0.020877
108,163,4.69,3.32,0.020740
116,137,4.69,3.32,0.020421
349,107,2.72,1.92,0.019884
349,118,2.72,1.92,0.019213
5,58,3.26,2.30,0.019198
108,150,2.72,1.92,0.019147
160,32,3.26,2.30,0.019110
279,124,2.72,1.92,0.018961
224,0,3.91,2.76,0.018867
75,52,4.69,3.32,0.018818
136,242,2.72,1.92,0.018627
350,12,2.72,1.92,0.018227
151,123,2.72,1.92,0.017734
341,109,5.63,3.98,0.017555
194,67,3.26,2.30,0.016907
0,333,3.91,2.76,0.016788
216,314,2.72,1.92,0.016650
121,100,2.72,1.92,0.016648
348,0,2.72,1.92,0.016623
179,114,20.17,14.27,0.016509
347,138,3.91,2.76,0.016454
238,53,2.72,1.92,0.016413
304,122,2.72,1.92,0.016354
280,113,16.81,11.89,0.016351
0,330,5.63,3.98,0.015857
