x,y,radius_px,sigma,score
120,182,2.26,1.60,0.158040
315,201,2.26,1.60,0.157911
215,181,2.26,1.60,0.157724
68,197,2.26,1.60,0.157719
28,245,3.26,2.30,0.157645
157,275,2.26,1.60,0.157148
335,183,2.26,1.60,0.157016
4,295,2.26,1.60,0.156704
64,179,2.72,1.92,0.156703
88,223,2.26,1.60,0.156398
266,353,2.26,1.60,0.156363
268,248,3.91,2.76,0.156259
244,166,3.26,2.30,0.156040
225,256,2.72,1.92,0.155972
315,205,2.26,1.60,0.155865
257,203,2.26,1.60,0.155814
317,245,2.72,1.92,0.155725
158,213,2.72,1.92,0.155703
184,306,4.69,3.32,0.155656
161,277,2.26,1.60,0.155537
110,359,5.63,3.98,0.155490
197,347,6.76,4.78,0.155386
213,169,2.26,1.60,0.155279
97,194,2.26,1.60,0.155240
271,167,2.72,1.92,0.155214
6,226,2.26,1.60,0.155130
110,242,4.69,3.32,0.155055
0,261,4.69,3.32,0.154973
309,165,2.72,1.92,0.154879
11,291,2.26,1.60,0.154783
256,182,2.26,1.60,0.154741
111,194,2.26,1.60,0.154371
269,179,2.72,1.92,0.154233
20,175,2.26,1.60,0.154036
15,208,2.26,1.60,0.154017
128,222,2.26,1.60,0.153950
266,164,2.26,1.60,0.153774
14,293,2.26,1.60,0.153736
329,182,2.26,1.60,0.153610
171,247,2.26,1.60,0.153551
270,168,3.91,2.76,0.153455
57,173,2.72,1.92,0.153445
339,359,3.26,2.30,0.153429
173,242,3.26,2.30,0.153361
185,199,2.26,1.60,0.153162
31,227,2.26,1.60,0.153087
308,202,2.26,1.60,0.153066
318,208,2.26,1.60,0.152980
112,243,4.69,3.32,0.152851
111,233,3.26,2.30,0.152789
299,145,4.69,3.32,0.152724
14,224,2.26,1.60,0.152662
70,204,2.26,1.60,0.152369
308,164,2.26,1.60,0.152357
223,166,2.26,1.60,0.152312
170,348,2.26,1.60,0.152186
57,302,5.63,3.98,0.151949
150,214,2.26,1.60,0.151947
359,316,2.26,1.60,0.151445
167,359,11.68,8.26,0.151235
195,273,4.69,3.32,0.151136
93,209,2.26,1.60,0.151096
275,199,2.26,1.60,0.151017
67,167,9.73,6.88,0.150822
221,162,6.76,4.78,0.150821
92,222,2.26,1.60,0.150802
268,272,2.26,1.60,0.150741
158,258,4.69,3.32,0.150563
299,195,2.26,1.60,0.150541
29,272,6.76,4.78,0.150535
113,208,2.72,1.92,0.150457
359,210,3.91,2.76,0.150433
56,210,2.26,1.60,0.150327
181,320,3.91,2.76,0.150320
114,235,3.91,2.76,0.150310
215,165,3.26,2.30,0.150170
185,323,3.26,2.30,0.150166
270,183,2.26,1.60,0.150019
359,314,3.26,2.30,0.149988
270,180,2.26,1.60,0.149980
108,201,2.26,1.60,0.149940
278,198,2.26,1.60,0.149530
350,342,2.26,1.60,0.149331
304,359,8.11,5.73,0.149181
359,309,6.76,4.78,0.149040
260,180,2.26,1.60,0.148912
65,299,2.26,1.60,0.148898
149,218,5.63,3.98,0.148813
318,236,3.91,2.76,0.148470
37,169,9.73,6.88,0.148354
183,197,2.26,1.60,0.148139
62,262,2.26,1.60,0.148103
26,261,2.26,1.60,0.148080
193,206,2.26,1.60,0.147979
70,257,2.26,1.60,0.147903
264,182,2.26,1.60,0.147702
62,264,3.91,2.76,0.147694
88,205,2.26,1.60,0.147646
11,272,2.26,1.60,0.147627
152,209,2.26,1.60,0.147579
245,224,2.26,1.60,0.147456
303,194,2.26,1.60,0.147346
163,244,5.63,3.98,0.147313
135,193,2.26,1.60,0.146899
252,201,2.26,1.60,0.146811
182,211,2.26,1.60,0.146734
23,225,2.26,1.60,0.146660
120,267,2.26,1.60,0.146638
14,260,2.26,1.60,0.146637
41,275,2.26,1.60,0.146501
238,171,2.26,1.60,0.146468
184,334,2.72,1.92,0.146271
331,214,2.26,1.60,0.146215
234,239,2.26,1.60,0.145992
260,270,3.91,2.76,0.145826
336,336,2.72,1.92,0.145748
125,211,2.26,1.60,0.145724
356,150,2.26,1.60,0.145675
202,253,4.69,3.32,0.145551
260,327,2.26,1.60,0.145256
267,163,3.26,2.30,0.145187
173,298,2.26,1.60,0.145087
198,162,9.73,6.88,0.144988
252,345,9.73,6.88,0.144967
312,180,2.72,1.92,0.144758
51,243,2.26,1.60,0.144743
56,193,2.26,1.60,0.144733
28,63,24.21,17.12,0.144597
118,183,3.26,2.30,0.144588
11,172,5.63,3.98,0.144478
83,275,2.26,1.60,0.144290
318,217,2.72,1.92,0.144220
282,248,2.26,1.60,0.144105
187,348,2.26,1.60,0.143864
100,207,2.26,1.60,0.143631
338,226,2.26,1.60,0.143478
345,335,2.72,1.92,0.143431
310,196,2.26,1.60,0.143417
126,212,2.72,1.92,0.143181
95,289,6.76,4.78,0.143156
240,282,16.81,11.89,0.143074
74,290,2.26,1.60,0.143035
98,176,2.26,1.60,0.142826
336,144,4.69,3.32,0.142678
182,335,2.72,1.92,0.142600
159,318,2.72,1.92,0.142537
199,171,2.26,1.60,0.142489
217,205,2.26,1.60,0.142439
31,191,2.26,1.60,0.142358
186,331,2.72,1.92,0.142334
233,188,8.11,5.73,0.142217
334,208,3.91,2.76,0.142136
300,252,2.26,1.60,0.142008
99,183,2.26,1.60,0.141839
62,228,2.26,1.60,0.141713
351,192,2.26,1.60,0.141620
326,180,2.26,1.60,0.141589
0,229,2.26,1.60,0.141576
278,180,2.72,1.92,0.141559
81,217,2.26,1.60,0.141531
121,48,14.01,9.91,0.141414
102,273,2.26,1.60,0.141257
341,183,2.26,1.60,0.141077
86,206,2.26,1.60,0.141053
19,271,2.26,1.60,0.140990
16,196,3.26,2.30,0.140936
134,211,8.11,5.73,0.140709
157,306,2.26,1.60,0.140660
47,205,2.26,1.60,0.140656
233,200,3.91,2.76,0.140486
176,335,2.26,1.60,0.140360
282,164,2.26,1.60,0.140259
71,292,2.26,1.60,0.140204
175,240,2.26,1.60,0.140166
90,198,2.26,1.60,0.140052
159,261,2.26,1.60,0.139769
329,236,2.26,1.60,0.139752
321,355,2.26,1.60,0.139666
302,147,3.26,2.30,0.139418
96,223,3.91,2.76,0.139365
154,196,2.26,1.60,0.139337
170,204,2.26,1.60,0.139254
279,211,2.26,1.60,0.139162
45,270,3.26,2.30,0.138873
110,273,2.26,1.60,0.138707
318,246,3.91,2.76,0.138702
333,203,2.26,1.60,0.138520
18,172,2.26,1.60,0.138504
263,197,2.26,1.60,0.138476
337,192,3.26,2.30,0.138443
170,283,2.26,1.60,0.138433
190,179,2.26,1.60,0.138422
21,236,2.26,1.60,0.138268
61,301,2.26,1.60,0.138194
91,208,2.72,1.92,0.138097
124,233,3.26,2.30,0.137957
62,195,2.26,1.60,0.137875
278,232,11.68,8.26,0.137732
46,275,2.26,1.60,0.137424
79,185,2.26,1.60,0.137211
313,193,2.26,1.60,0.137113
332,206,2.26,1.60,0.137048
350,243,3.91,2.76,0.137020
349,351,3.91,2.76,0.136962
20,185,2.26,1.60,0.136940
98,184,3.26,2.30,0.136871
204,239,2.72,1.92,0.136749
128,213,3.91,2.76,0.136704
33,231,2.26,1.60,0.136651
304,320,5.63,3.98,0.136419
147,199,2.26,1.60,0.136307
5,178,2.26,1.60,0.136304
82,128,5.63,3.98,0.136303
286,315,2.26,1.60,0.136241
68,207,2.26,1.60,0.136219
0,0,6.76,4.78,0.136162
127,173,3.26,2.30,0.135991
325,131,29.05,20.54,0.135928
41,206,2.26,1.60,0.135537
